method,n,face_rate,arcface,clip_score,adaface,hpsv2,pickscore,dreamsim,race_acc,age_mae,age_mae_fairface,accessory_prob,age_control,controllability,clip_fid,kid,seed_diversity
dreambooth_lora,1050,0.9914285714285714,0.5896290224457046,0.1976392448941862,0.5777679923510284,0.24843104771205357,19.830001251584008,0.2294534961382543,0.31142857142857144,11.71795,14.15,0.5495777778793123,0.6094016666666666,0.4901360053248501,33.034726537682644,37.37291525025025,0.2039649504423141
dreambooth_lora_with_demo,1050,0.9980952380952381,0.6745327163828917,0.18773681151015373,0.6591172211639977,0.23780378069196428,19.399895566304526,0.14866949518521577,0.23142857142857143,13.953875,15.95,0.5122663673323885,0.5348708333333334,0.4261885906980978,30.252832226664182,23.31686858108108,0.1239825150370597
hyperlora,1050,0.9523809523809523,0.5725534765720363,0.22796064057520413,0.5616660672128196,0.2895304361979167,21.924875517345612,0.4289494662625445,0.38571428571428573,13.6307,11.35,0.8033063021302219,0.5456433333333334,0.5782213070592803,36.74055425560489,61.43332118618614,0.210178145468235
ip_adapter_faceid,1050,0.9838095238095238,0.5563616759692822,0.19537754718746408,0.5153134305242874,0.21608456566220238,19.452397646222796,0.37753728242147494,0.20857142857142857,21.925349999999998,19.65,0.44561510427699685,0.26915500000000003,0.3077805109494752,32.9445119571879,49.96985708458456,0.2816926392912865
photomaker,1050,0.9447619047619048,0.515241157353645,0.2253235328623222,0.496127150449601,0.23891427176339286,20.411239026387534,0.4393416585241041,0.26857142857142857,17.5549,15.4,0.7968932727475957,0.41483666666666663,0.4934337893285636,29.447151000667475,57.65056564520169,0.321547457575798
pulid_delayed,1050,1.0,0.6822724835077917,0.21442371081028616,0.677088820565314,0.2631927780877976,21.00860801333473,0.3647400048800873,0.2342857142857143,20.398,18.3,0.6625217695968841,0.3200666666666667,0.4056247168497551,33.429153330318286,53.658915275275234,0.2187456923723221
pulid_only,1050,0.9990476190476191,0.7265107736517062,0.2039156919433952,0.7254890780611843,0.25601702008928573,20.61476021539597,0.3061561632724031,0.2057142857142857,20.9482,21.35,0.5718007581719814,0.3017266666666667,0.359747236850978,37.973991489271306,54.41889144394392,0.2099510478973388
pulid_with_demo_lora,1050,1.0,0.6788627961703705,0.1954454268231274,0.676879662984893,0.23580554780505952,19.707101629348028,0.20487290115583467,0.16857142857142857,19.4725,20.6,0.5171071207608713,0.35091666666666665,0.34553173866632214,33.196735670643605,33.52707875375372,0.1120177221298217
