method,clip_fid,kid
dreambooth_lora,33.034726537682644,37.37291525025025
dreambooth_lora_with_demo,30.252832226664182,23.31686858108108
hyperlora,36.74055425560489,61.43332118618614
ip_adapter_faceid,32.9445119571879,49.96985708458456
photomaker,29.447151000667475,57.65056564520169
pulid_delayed,33.429153330318286,53.658915275275234
pulid_only,37.973991489271306,54.41889144394392
pulid_with_demo_lora,33.196735670643605,33.52707875375372
