step,age_mae,race_acc,clip_score,n,frontier,winner
1000,10.089285714285714,0.7053571428571429,0.279076764027455,224,False,False
2000,7.410714285714286,0.7321428571428571,0.27889191791681306,224,False,False
3000,5.491071428571429,0.7723214285714286,0.268175012764654,224,True,False
4000,4.419642857142857,0.7410714285714286,0.25657106437055127,224,True,True
5000,5.178571428571429,0.7232142857142857,0.2533990888457213,224,False,False
6000,5.044642857142857,0.7142857142857143,0.24745865485497884,224,False,False
7000,5.401785714285714,0.71875,0.2421372176946274,224,False,False
8000,5.982142857142857,0.7410714285714286,0.2500870591029525,224,False,False
9000,6.424107142857143,0.6830357142857143,0.24522199222285831,224,False,False
10000,6.151785714285714,0.6696428571428571,0.24648043047636747,224,False,False
11000,6.65625,0.6517857142857143,0.24480267707258463,224,False,False
12000,6.941964285714286,0.6473214285714286,0.24052947194182447,224,False,False
13000,7.125,0.6071428571428571,0.23865148312013065,224,False,False
14000,7.075892857142857,0.5892857142857143,0.24013295290725573,224,False,False
15000,7.205357142857143,0.5758928571428571,0.24098080143864667,224,False,False
